material_id,formula,src_elem,dst_elem,hetero,distance,gate_layer1,gate_layer2,gate_layer3,gate_final_layer,gate_mean_all_layers
mp-1219385,Sm14Au51,Sm,Au,True,3.126069627655076,0.40233666,0.32822305,0.35690773,0.35690773,0.36248913
mp-1219385,Sm14Au51,Sm,Au,True,3.142507483321271,0.4023562,0.3262097,0.35214427,0.35214427,0.36023673
mp-1219385,Sm14Au51,Sm,Au,True,3.142507483321271,0.4023562,0.32812524,0.35979503,0.35979503,0.3634255
mp-1219385,Sm14Au51,Sm,Au,True,3.1605441477058416,0.4023611,0.32612264,0.3511281,0.3511281,0.35987058
mp-1219385,Sm14Au51,Sm,Au,True,3.160544147705842,0.4023611,0.32612264,0.35082734,0.35082734,0.3597704
mp-1219385,Sm14Au51,Sm,Au,True,3.164248695847991,0.402359,0.32717073,0.35502252,0.35502252,0.36151743
mp-1219385,Sm14Au51,Sm,Au,True,3.164248695847991,0.402359,0.32717073,0.35541654,0.35541654,0.36164877
mp-1219385,Sm14Au51,Sm,Au,True,3.1749102909820004,0.40234596,0.3323616,0.34408957,0.34408957,0.35959902
mp-1219385,Sm14Au51,Sm,Au,True,3.1749102909820004,0.40234596,0.32920295,0.34516025,0.34516025,0.35890305
mp-1219385,Sm14Au51,Sm,Au,True,3.2265970814181646,0.40212813,0.32759076,0.35034126,0.35034126,0.36002007
mp-1219385,Sm14Au51,Sm,Au,True,3.2265970814181646,0.40212813,0.32759076,0.35061908,0.35061908,0.36011267
mp-1219385,Sm14Au51,Sm,Au,True,2.9261003143468676,0.40505022,0.36211896,0.35596943,0.35596943,0.37437955
mp-1219385,Sm14Au51,Sm,Au,True,3.12602590593925,0.4023366,0.35485488,0.34978193,0.34978193,0.36899114
mp-1219385,Sm14Au51,Sm,Au,True,3.1424819093085468,0.40235618,0.35125425,0.34644297,0.34644297,0.36668447
mp-1219385,Sm14Au51,Sm,Au,True,3.1424819093085468,0.40235618,0.35730025,0.35188973,0.35188973,0.37051538
mp-1219385,Sm14Au51,Sm,Au,True,3.160471176971322,0.40236112,0.3511604,0.34518704,0.34518704,0.3662362
mp-1219385,Sm14Au51,Sm,Au,True,3.160471176971322,0.40236112,0.3511604,0.34522143,0.34522143,0.36624765
mp-1219385,Sm14Au51,Sm,Au,True,3.1642743544179024,0.40235898,0.35329688,0.3499554,0.3499554,0.3685371
mp-1219385,Sm14Au51,Sm,Au,True,3.164274354417903,0.40235898,0.35329688,0.3499554,0.3499554,0.3685371
mp-1219385,Sm14Au51,Sm,Au,True,3.1748828446195434,0.40234601,0.34820047,0.34107435,0.34107435,0.3638736
mp-1219385,Sm14Au51,Sm,Au,True,3.1748828446195434,0.40234601,0.34820047,0.34122905,0.34122905,0.3639252
mp-1219385,Sm14Au51,Sm,Au,True,3.2266783341955967,0.40212762,0.35240653,0.34505582,0.34505582,0.36652997
mp-1219385,Sm14Au51,Sm,Au,True,3.2266783341955967,0.40212762,0.35240653,0.34496647,0.34496647,0.36650023
mp-1219385,Sm14Au51,Sm,Au,True,3.08158065317446,0.40230227,0.33323824,0.35269725,0.35269725,0.3627459
mp-1219385,Sm14Au51,Sm,Au,True,3.0816277436847885,0.4023022,0.333239,0.3525337,0.3525337,0.36269164
mp-1219385,Sm14Au51,Sm,Au,True,3.0816650281122224,0.4023022,0.33323982,0.3521344,0.3521344,0.36255884
mp-1219385,Sm14Au51,Sm,Au,True,3.140866463774541,0.40235475,0.3386398,0.36276188,0.36276188,0.36791882
mp-1219385,Sm14Au51,Sm,Au,True,3.1408997695302725,0.40235475,0.33864027,0.3631319,0.3631319,0.36804232
mp-1219385,Sm14Au51,Sm,Au,True,3.140921307883971,0.40235478,0.3386411,0.36276543,0.36276543,0.36792043
mp-1219385,Sm14Au51,Sm,Au,True,3.1981537463916108,0.4022786,0.3407507,0.35655352,0.35655352,0.3665276
mp-1219385,Sm14Au51,Sm,Au,True,3.198178030258451,0.4022785,0.340752,0.35627794,0.35627794,0.36643615
mp-1219385,Sm14Au51,Sm,Au,True,3.1982349216964425,0.40227824,0.34075332,0.35627705,0.35627705,0.3664362
mp-1219385,Sm14Au51,Sm,Au,True,3.251798318475534,0.40195727,0.33765233,0.34227288,0.34227288,0.3606275
mp-1219385,Sm14Au51,Sm,Au,True,3.2518650950591454,0.4019568,0.33765438,0.34253398,0.34253398,0.36071503
mp-1219385,Sm14Au51,Sm,Au,True,3.252017736245598,0.40195572,0.3376574,0.34253544,0.34253544,0.3607162
mp-1219385,Sm14Au51,Sm,Au,True,3.08158065317446,0.40230227,0.33323824,0.3526973,0.3526973,0.3627459
mp-1219385,Sm14Au51,Sm,Au,True,3.0816277436847885,0.4023022,0.33323902,0.3525337,0.3525337,0.36269164
mp-1219385,Sm14Au51,Sm,Au,True,3.0816650281122224,0.4023022,0.33323982,0.35239735,0.35239735,0.36264646
mp-1219385,Sm14Au51,Sm,Au,True,3.140866463774541,0.40235475,0.3386398,0.363185,0.363185,0.36805987
mp-1219385,Sm14Au51,Sm,Au,True,3.1408997695302725,0.40235475,0.33864027,0.36336416,0.36336416,0.36811972
mp-1219385,Sm14Au51,Sm,Au,True,3.140921307883971,0.40235478,0.3386411,0.36318308,0.36318308,0.36805964
mp-1219385,Sm14Au51,Sm,Au,True,3.1981537463916108,0.4022786,0.3407507,0.3565535,0.3565535,0.3665276
mp-1219385,Sm14Au51,Sm,Au,True,3.198178030258451,0.4022785,0.34075198,0.35627794,0.35627794,0.36643615
mp-1219385,Sm14Au51,Sm,Au,True,3.1982349216964425,0.40227824,0.34075332,0.35627705,0.35627705,0.3664362
mp-1219385,Sm14Au51,Sm,Au,True,3.251798318475534,0.40195727,0.33765233,0.34227288,0.34227288,0.3606275
mp-1219385,Sm14Au51,Sm,Au,True,3.2518650950591454,0.4019568,0.33765438,0.34253398,0.34253398,0.36071503
mp-1219385,Sm14Au51,Sm,Au,True,3.252017736245598,0.40195572,0.3376574,0.34253547,0.34253547,0.3607162
mp-1219385,Sm14Au51,Au,Au,False,2.7435696339590034,0.41054446,0.40250474,0.36946002,0.36946002,0.39416972
mp-1219385,Sm14Au51,Au,Au,False,2.7763419933630034,0.40994596,0.3997048,0.36418566,0.36418566,0.39127883
mp-1219385,Sm14Au51,Au,Au,False,2.787267004900636,0.4096502,0.40294522,0.3654802,0.3654802,0.39269188
